# A tibble: 480 × 5
# Groups:   condition_num, Fit [192]
    condition_num Fit   cluster_opt     n n_error
    <chr>         <chr> <chr>       <int>   <int>
407 82            glm   cwc          1000       0
408 82            glm   cwc.FE       1000       0
409 82            mlr   cwc          1000       0
410 82            mlr   cwc.FE       1000       0
411 83            glm   RE.glm       1000       0
412 83            glm   cwc          1000       0
413 83            glm   cwc.FE       1000       0
414 83            mlr   cwc          1000       0
415 83            mlr   cwc.FE       1000       0
416 84            glm   RE.glm       1000       0
417 84            glm   cwc          1000       0
418 84            glm   cwc.FE       1000       0
419 84            mlr   cwc          1000       0
420 84            mlr   cwc.FE       1000       0
421 85            glm   RE.glm       1000       0
422 85            glm   cwc          1000       0
423 85            glm   cwc.FE       1000       0
424 85            mlr   cwc          1000       0
425 85            mlr   cwc.FE       1000       0
426 86            glm   RE.glm       1000       0
427 86            glm   cwc          1000       0
428 86            glm   cwc.FE       1000       0
429 86            mlr   cwc          1000       0
430 86            mlr   cwc.FE       1000       0
431 87            glm   RE.glm       1000       0
432 87            glm   cwc          1000       0
433 87            glm   cwc.FE       1000       0
434 87            mlr   cwc          1000       0
435 87            mlr   cwc.FE       1000       0
436 88            glm   RE.glm       1000       0
437 88            glm   cwc          1000       0
438 88            glm   cwc.FE       1000       0
439 88            mlr   cwc          1000       0
440 88            mlr   cwc.FE       1000       0
441 89            glm   RE.glm       1000       0
442 89            glm   cwc          1000       0
443 89            glm   cwc.FE       1000       0
444 89            mlr   cwc          1000       0
445 89            mlr   cwc.FE       1000       0
446 90            glm   RE.glm       1000       0
447 90            glm   cwc          1000       0
448 90            glm   cwc.FE       1000       0
449 90            mlr   cwc          1000       0
450 90            mlr   cwc.FE       1000       0
451 91            glm   RE.glm       1000       0
452 91            glm   cwc          1000       0
453 91            glm   cwc.FE       1000       0
454 91            mlr   cwc          1000       0
455 91            mlr   cwc.FE       1000       0
456 92            glm   RE.glm       1000       0
457 92            glm   cwc          1000       0
458 92            glm   cwc.FE       1000       0
459 92            mlr   cwc          1000       0
460 92            mlr   cwc.FE       1000       0
461 93            glm   RE.glm       1000       0
462 93            glm   cwc          1000       0
463 93            glm   cwc.FE       1000       0
464 93            mlr   cwc          1000       0
465 93            mlr   cwc.FE       1000       0
466 94            glm   RE.glm       1000       0
467 94            glm   cwc          1000       0
468 94            glm   cwc.FE       1000       0
469 94            mlr   cwc          1000       0
470 94            mlr   cwc.FE       1000       0
471 95            glm   RE.glm       1000       0
472 95            glm   cwc          1000       0
473 95            glm   cwc.FE       1000       0
474 95            mlr   cwc          1000       0
475 95            mlr   cwc.FE       1000       0
476 96            glm   RE.glm       1000       0
477 96            glm   cwc          1000       0
478 96            glm   cwc.FE       1000       0
479 96            mlr   cwc          1000       0
480 96            mlr   cwc.FE       1000       0
